: 6381
tame: 3
senate: 2
due:: 1
boy's: 1
Hark,: 1
	My: 85
	(Messenger:): 2
still-soliciting: 1
unsubstantial: 2
revenues.: 1
happy: 17
so!: 2
Edmund?: 4
shoot,: 1
offer: 3
tigers: 1
	[Undraws: 1
so,: 34
hallow'd: 1
so.: 33
Edmund.: 2
Edmund,: 11
perfumed: 1
	cannot: 2
so;: 10
so:: 12
	[The: 4
kiss.: 5
so?: 15
Edmund!: 1
groom.: 1
humbled: 2
silliness: 1
ignorance!: 1
extremity: 1
ignorance,: 2
wait;: 1
County: 7
ROMEO	This: 3
Nurse	Nay,: 1
predicament!: 1
Guests: 1
	imports: 1
dues: 1
CASSIO	O,: 2
LAURENCE]: 5
crown]: 1
Sir: 1
proud: 5
liberal: 4
CAPULET	How: 3
mutinies;: 1
	nieces;: 1
	Beware: 1
	her: 2
palm:: 1
soothe: 1
dry.: 1
teat.: 1
	sympathy: 1
oath: 1
tooth: 2
BALTHASAR	As: 1
count,: 1
drops]: 1
smelt: 1
banner,: 1
minds!: 1
banner.: 1
CAPULET	Go: 1
	Sleepest: 1
&c]: 4
look'd: 3
IAGO	'Zounds,: 2
flood: 1
rail'st: 1
OTHELLO	Would!: 1
smell: 10
roll: 1
	Intelligence: 1
valiant:: 1
't: 5
intend: 6
slaves: 2
OTHELLO	If: 3
spade]: 1
holla!: 1
prove,: 2
just!: 1
sooth;: 1
extenuate,: 1
JULIET	Now,: 2
tenant,: 2
intent: 2
OTHELLO	It: 5
smelling: 1
sooth,: 2
holp: 2
affairs.: 1
fastened: 1
highness: 3
crown;: 1
heap'd: 1
home: 7
	Willow,: 1
Senator	Indeed,: 1
quicken,: 1
warm.: 3
perjured,: 2
crown,: 1
pew;: 1
'A: 3
time: 51
chidden: 1
banners: 1
'broad;': 1
confused:: 1
'I: 3
'No,': 1
MERCUTIO	If: 2
stay!: 1
chain: 1
stay,: 7
stay.: 3
o'erheard: 1
where:: 1
just.: 1
gorgeous,: 1
mildness.: 1
jarring: 1
death's-man.: 1
chair: 2
good?: 1
stay:: 1
	sometimes: 1
manured: 1
hold: 34
honour,: 5
oath,: 2
BENVOLIO	It: 1
separated:: 1
menace: 1
Iago: 7
	praise: 1
	Grief: 1
BENVOLIO	In: 1
minister'd: 1
persevere: 1
	honourable: 1
KENT	(KENT:): 1
child:: 2
child;: 4
Gentleman	But: 1
Doctor	He's: 1
choice: 3
child!: 5
captain's: 1
mourn: 1
stays: 1
fifty: 4
exact: 1
minute: 5
majesty.: 1
pride,: 3
	Away: 3
poor,: 6
poor.: 2
tear: 9
fully.--I: 1
majesty,: 2
jelly!: 1
presently: 7
invade: 1
leave: 31
pursue: 1
poor;: 1
poor:: 1
continuate: 1
horses;: 2
occupation's: 1
cold'st: 1
prevent: 3
EDGAR	From: 1
burneth: 1
neck--: 1
see:--: 1
IV: 15
yard.: 1
prediction: 1
redress;: 1
reverso!: 1
Why,: 6
shirts: 1
fee-simple!: 1
hush.: 1
show'st: 1
PARIS	I: 1
DESDEMONA	Where: 1
character,--I'ld: 1
saw;: 1
saw:: 1
	man's: 1
DESDEMONA	Beshrew: 1
melt: 1
current: 2
example.: 1
saw,: 1
	Wives,: 1
perform'd?: 1
dust.: 1
shirt.: 1
honour: 16
shirt,: 1
	bluntly:: 1
whipp'st: 1
knowest,: 1
enriches: 1
address: 1
alone: 9
along: 4
VENICE	What: 1
in't.: 2
molestation: 1
drew:: 1
CORNWALL	If: 2
commonly: 1
Mere: 1
CORNWALL	Is: 1
	with: 9
absolved.: 1
pass'd: 1
near's: 1
GONERIL	Combine: 1
Knight	He: 1
	Witness: 2
IAGO	Lend: 1
love: 141
constant,: 1
prefer: 3
bloody: 19
diest.: 1
beauties;: 2
Messenger	No,: 1
diest!: 2
ropery?: 1
Gentleman	Made: 1
OTHELLO	Fetch: 1
working: 2
angry: 1
LAURENCE	This: 1
incite,: 1
believe,: 1
imaginations: 1
	Touching: 1
opposed: 2
wondering: 1
Doctor	Be: 2
scope: 2
presence;: 1
	Strike: 2
Those: 1
loving: 8
only,: 1
	Such: 6
perjuries: 1
afford: 2
blood?: 2
Adultery?: 1
blood;: 2
refrain: 1
word,--legitimate!: 1
	horse's: 1
ignorant: 4
virtue: 10
blood!: 3
blood.: 4
blood,: 11
both:: 2
	Great: 1
PERSONAE: 3
valued: 1
moulten: 1
	Depart: 1
shrill: 1
inflamed: 1
nether: 3
values: 1
well-a-day!: 1
following: 7
Our: 8
well-a-day,: 1
fun: 2
oppose.: 1
heard:: 2
heard;: 1
head-lugg'd: 1
daughters,--: 1
pandar,: 1
BIANCA	An: 1
Fool	Yes,: 1
night-gown?: 1
bears,: 1
kindness!: 1
heard,: 3
allowed: 1
stole: 1
bridal.: 1
filth;: 1
winter: 2
buttered: 1
divided: 2
Who: 7
vainly: 1
thunder,: 3
	length: 1
'tis: 99
loathe: 1
Why: 6
undertook: 1
well-armed: 1
cheveril,: 1
	[Alarums.: 1
officer.': 1
knee-crooking: 1
horse;: 3
hide,: 1
unnatural.: 1
questrists: 1
REGAN	Thus: 1
BALTHASAR]: 3
frog,: 1
date: 3
such: 138
Musician	Well,: 1
filthy: 3
hide:: 1
doom;: 2
natural: 4
	Roderigo,: 1
heard]: 2
	Roderigo!: 1
yielding: 1
IAGO	What: 8
rude,: 1
thunders: 1
sequestration:--put: 1
so: 252
doom.: 1
doom!: 1
wolves: 2
prescription: 1
LEAR	Be: 1
MONTAGUE	Thou: 2
LEAR	Why: 1
below!: 1
early:: 1
distempering: 1
early?: 1
	armed: 1
years: 9
course: 14
conceal'd: 1
quarrelled: 1
LEAR	Who: 3
disorder'd,: 1
savage-wild,: 1
honesty.: 1
dead:: 4
honesty,: 3
derive: 1
dead?: 7
solace: 1
compasses,: 1
infirmities: 1
did,: 2
did.: 6
weaker: 1
	grandsire,: 1
keepest: 1
honesty!: 1
honesty?: 1
REGAN	Lady,: 1
suspicion: 2
dead.: 5
antipathy: 1
stol'n: 6
dead!: 8
troubled: 2
did;: 2
Jack: 1
pleasance: 1
thereby: 1
year;: 1
thine,: 4
throwest;: 1
highness,--: 1
near,--O,: 1
answer: 25
year.: 2
islanders: 1
sorted: 1
epithets: 1
reckoning: 2
shortens: 1
thine:: 3
thine;: 1
startingly: 1
tongues;: 1
commands: 3
enmity!: 1
DESDEMONA	Go: 1
ambling;: 1
down:: 1
court'sies: 1
imprisoned;: 1
	Interest: 1
RODERIGO	Every: 1
veins: 2
Servant	Let's: 1
	they'll: 1
laugh?: 1
square: 1
RODERIGO	I: 12
woo;: 1
presages: 1
receipt: 1
	unblessed: 1
	Light,: 2
boy:: 4
beetle: 1
REGAN	To: 1
	Transported,: 1
misuse?: 1
IAGO	[Snatching: 1
	Dogs: 1
brags: 1
	Because: 4
	knowest: 1
seriously: 1
Rosaline: 1
	Fie,: 2
Emilia,--: 1
liest.: 2
DESDEMONA	Who: 1
crack'd,: 1
Cyprus,: 3
worthiness: 1
Cyprus.: 10
siege: 2
	'Twould: 1
crack'd!: 1
quite: 3
bills,: 1
Cyprus;: 1
besides: 3
	Clown,: 1
CASSIO	Dear: 1
amities;: 1
	Remembers: 1
CORNWALL	Cunning.: 1
	How!: 1
disguised: 2
wrong: 15
protection.: 1
wanderers: 1
enkindle: 1
discovery,: 1
husband: 17
neglect: 3
puny: 1
LEAR	Regan,: 1
speak,--that: 1
mercy.: 2
beggar-maid!: 1
mercy,: 4
properer: 1
spoken: 3
	Romeo: 5
one: 110
mercy:: 1
foh!: 1
EDMUND	Look,: 1
surge,: 2
itself,--: 1
open: 9
affords: 1
GONERIL	Put: 1
	Fetch: 2
stifles: 1
thyself?: 2
Servant	Now: 1
bite: 8
Gentlemen,: 2
Athenian.: 1
stifled: 1
thyself,: 4
thyself.: 1
thyself!: 2
ho!--are: 1
Gentlemen;: 1
hurt.: 3
counsel:--a: 1
	displeasure: 1
misgives: 1
CURAN	Have: 1
on,: 12
poisons.: 1
MERCUTIO	Thy: 1
blows,: 2
much,: 10
much.: 5
snatch: 1
LEAR	No,: 7
on;: 9
LEAR	No.: 3
	[She: 1
on?: 2
antic: 1
much:: 4
much;: 2
Gentlemen]: 2
poultice: 1
parts: 4
authority:: 1
ROMEO	Ah,: 1
folly: 3
IAGO	Fie,: 1
coats: 1
Nurse	Even: 1
future: 1
festinate: 1
damned: 11
winter.: 1
page,: 1
	Persuade: 1
	Whole: 1
tasted: 1
turned: 1
argument: 2
jewels: 3
sad: 5
page?: 1
say: 98
buried: 2
	[Going]: 1
RODERIGO	With: 2
saw: 18
sat: 2
law,: 3
tremble;: 1
	Sunshine: 1
LEAR	Nothing:: 1
bad?: 2
Catling?: 1
alabaster.: 1
ROMEO	Why,: 2
note: 5
	Adding: 1
intends: 2
villain-like: 1
take: 102
law;: 1
IAGO	Do: 5
blinding: 1
LEAR	Nothing!: 1
touch,: 2
taste!: 1
MONTANO	Methinks: 1
sa.: 1
opposite: 4
syllable: 2
discerning: 1
knew: 8
purse,--nor: 1
unkindness: 2
jewel,: 1
afternoon,: 2
EDGAR	Away,: 1
Sarum: 1
EDGAR	Away!: 1
knee: 1
JULIET	Hist!: 1
something:: 1
LODOVICO	Is: 2
ALBANY	Where: 2
not?: 4
intend,: 1
not;: 12
not:: 8
something.: 1
house--: 1
something,: 2
not!: 3
	He'll: 5
Strip: 1
not,: 60
not.: 31
salt: 6
	nuncle,: 1
laws: 1
Juliet,: 15
walking: 3
inwards;: 1
favour.: 2
merit: 4
Others: 1
LEAR	Rumble: 1
bright: 5
Juliet?: 2
kinsman!: 3
mass?: 1
Juliet:: 1
Juliet;: 1
scarce: 10
kinsman.: 1
imagined: 1
CAPULET	Ay,: 2
slow: 2
unkind: 3
robs: 1
	Mine: 1
EDMUND	I: 14
tears: 17
going: 10
outrage: 1
swine,: 1
	Knights: 1
seeming: 9
dispute: 1
darkness.: 1
aught,: 1
between: 17
tilting: 1
keys,: 1
OTHELLO	Yes:: 1
I	Venice.: 1
OTHELLO	Not?: 1
CAPULET	Here: 1
whence: 6
import: 3
	Against: 10
clearest: 1
pranks.: 1
	Told: 2
prime: 1
	Stand: 7
blind,: 3
LEAR	Inform'd: 1
blind.: 1
borrow: 1
	Iago,: 2
blind;: 1
	[Advances]: 1
recoiling: 1
where: 61
tike: 1
	[BRABANTIO: 1
Away,: 3
	general,: 1
dearth,: 1
Kent;: 1
Kent:: 2
down.: 3
Kent?: 2
Away!: 1
braggart,: 2
fortune's: 6
IAGO	Nothing,: 1
Kent!: 2
KENT	Sir,: 3
horned: 1
bestial.: 1
threats;: 1
Kent.: 1
Kent,: 4
Nurse	Faith,: 2
That: 3
man:: 8
man;: 14
haughty: 1
wrought: 5
man!: 13
therewithal: 2
moons: 1
satiety: 1
	Display'd: 1
man,: 28
BENVOLIO	A: 1
revenue,'--My: 1
pitiless: 1
rage,: 5
rage.: 1
advised;: 1
RODERIGO	How: 1
BENVOLIO	Part,: 1
preach: 1
rage!: 1
service!: 1
punto: 1
MERCUTIO	O,: 2
spare: 2
rage:: 1
Jug!: 1
	Allows: 1
breeches,: 1
west!: 1
GLOUCESTER	Canst: 1
IAGO	Work: 1
moon,: 5
many: 33
moon.: 1
Desdemona's: 2
	Our: 18
west,: 1
unfolds.: 1
belie: 2
waterish: 2
viper?: 1
fix: 1
allowance: 1
Lady,: 1
	Arms,: 2
reading?: 1
	Sometime: 3
Lady!: 1
perpetual.: 1
IAGO	Marry,: 3
behind;: 1
article: 2
LEAR	When: 2
vomit,: 1
nursery.: 1
PAGE	O: 1
boat: 2
EDGAR	Or: 1
better: 42
practiser: 1
practises: 2
swords]: 1
stretch: 3
tops.: 1
TYBALT	This,: 1
	[Exeunt: 39
endure.: 2
	no: 3
practised: 3
PARIS	Come: 1
wants: 1
EDGAR	O,: 1
swords;: 1
	Honest: 2
burn'd,: 1
unsafe: 1
thousand: 14
pastime?: 1
reposal: 1
DESDEMONA	Here,: 1
ant,: 1
amity?: 1
temper'd.: 1
worms': 1
ALBANY	My: 1
Apollo,: 1
former: 4
	Sitting: 1
CAPULET	Hang: 1
queasy: 1
sit: 8
profane: 3
CASSIO	Welcome,: 1
admirable: 2
practise:: 1
practise;: 1
pretence: 1
vial,: 1
within]: 11
conveyance: 1
swashing: 1
bestow'd.: 1
willow,--: 1
endured: 2
written,: 1
practise,: 2
region: 3
Venetians;: 1
days: 9
summoners: 1
priests: 1
chat: 1
brow: 5
ingratitude!: 2
hags,: 1
marble-hearted: 1
rather--: 1
birth,: 5
marchpane;: 1
CORNWALL	Whither: 1
lost:: 2
weapon,: 2
fame: 1
thief?: 1
EDGAR	[Aside]	How: 1
	Conceive,: 1
shuts: 1
thief;: 1
Iago?: 6
train,: 3
lost?: 1
it.': 1
profane,: 1
cost.: 1
thief.: 1
EDMUND	Sir,: 3
thief,: 2
hoodwink'd: 1
Iago,: 21
